hospcode,name
"07568","โรงพยาบาลส่งเสริมสุขภาพตำบลนิคมทุ่งสาน"
"07569","โรงพยาบาลส่งเสริมสุขภาพตำบลดงประคำ"
"07570","โรงพยาบาลส่งเสริมสุขภาพตำบลท่างาม"
"07571","โรงพยาบาลส่งเสริมสุขภาพตำบลท้อแท้"
"07572","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท้อแท้"
"07573","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำคบ"
"07574","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านยาง"
"07575","โรงพยาบาลส่งเสริมสุขภาพตำบลหินลาด"
"07576","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าขอนเบน"
"07577","โรงพยาบาลส่งเสริมสุขภาพตำบลคันโช้ง"
"07578","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยเจียง"
"07579","โรงพยาบาลส่งเสริมสุขภาพตำบลพันชาลี"
"07580","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสุพรรณพนมทอง"
"07581","โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ระกา"
"07582","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังน้ำใส"
"07583","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองปรือ"
"07584","สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี จ.พิษณุโลก"
"07585","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่ชัยเจริญ"
"07586","โรงพยาบาลส่งเสริมสุขภาพตำบลวังพิกุล"
"07587","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงพลวง"
"07588","โรงพยาบาลส่งเสริมสุขภาพตำบลแก่งโสภา"
"07589","โรงพยาบาลส่งเสริมสุขภาพตำบลท่าหมื่นราม"
"07590","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองเตาอิฐ"
"07591","โรงพยาบาลส่งเสริมสุขภาพตำบลวังนกแอ่น"
"07592","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำพรม"
"07593","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไผ่ใหญ่"
"07594","โรงพยาบาลส่งเสริมสุขภาพตำบลหนองพระ"
"07595","โรงพยาบาลส่งเสริมสุขภาพตำบลชัยนาม"
"07596","โรงพยาบาลส่งเสริมสุขภาพตำบลดินทอง"
"07597","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำปาด"
"07598","โรงพยาบาลส่งเสริมสุขภาพตำบลชมพู"
"07599","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านรักไทย"
"07600","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านมุง"
"07601","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองขมิ้น"
"07602","โรงพยาบาลส่งเสริมสุขภาพตำบลไทรย้อย"
"07603","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งยาว"
"07604","โรงพยาบาลส่งเสริมสุขภาพตำบลวังโพรง"
"07605","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโปร่งไผ่"
"07606","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้อยซุ้มขี้เหล็ก"
"07607","โรงพยาบาลส่งเสริมสุขภาพตำบลวังยาง"
"10611","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยทรายเหนือ"
"10612","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำจวง"
"10613","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนุชเทียน"
"10676","โรงพยาบาลพุทธชินราช"
"11251","โรงพยาบาลชาติตระการ"
"11252","โรงพยาบาลบางระกำ"
"11253","โรงพยาบาลบางกระทุ่ม"
"11254","โรงพยาบาลพรหมพิราม"
"11255","โรงพยาบาลวัดโบสถ์"
"11256","โรงพยาบาลวังทอง"
"11257","โรงพยาบาลเนินมะปราง"
"11455","โรงพยาบาลสมเด็จพระยุพราชนครไทย"
"11474","โรงพยาบาลค่ายสฤษดิ์เสนา"
"11517","โรงพยาบาลค่ายสมเด็จพระนเรศวร"
"11518","โรงพยาบาลกองบิน 46"
"11797","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสระโคล่"
"11798","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแหลมโพธิ์"
"11803","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกรับพวง"
"12060","รวมแพทย์"
"12061","รัตนเวช"
"12062","สถานพยาบาลตาและสายตา"
"12063","โรงพยาบาลพิษณุโลกฮอสพิทอลโรงพยาบาลทั่วไปขนาดกลาง"
"12064","รังสีรักษาและเวชศาสตร์นิวเคลียร"
"12065","โรงพยาบาลรวมแพทย์พิษณุโลก"
"12066","โรงพยาบาลเด็กกรุงเทพพิษณุโลก"
"12067","โรงพยาบาลกรุงเทพพิษณุโลก"
"12068","อินเตอร์เวชการ(เก่า30)"
"12069","โรงพยาบาลพิษณุเวช"
"12367","คลินิคแพทย์วันชัย"
"12368","สมชาย-รุ่งนภาทันตคลีนิค"
"13432","กัมพลการแพทย์"
"13433","คลินิคแพทย์วิรัช"
"13434","คลีนิคปิ่นประทีป"
"13435","คลีนิคหมอวินัย"
"13436","คลีนิคหมอสุรพงษ์ สุขปัญญารักษ์"
"13437","คิลนิคนายแพทย์บุญชัย"
"13438","จินตนาพยาบาล"
"13439","บริษัทเครือพญาไท เอ็กซเรย์คอมพ"
"13440","พยาบาลกึ่งร้านขายยา"
"13441","พรจิตรการแพทย์"
"13442","พุทธบูชาการแพทย์"
"13443","วัดใหญ่โพลีคลีนิค"
"13444","ศศิธรพยาบาล"
"13445","สมศักดิ์คลีนิค"
"13446","หิรัญคลีนิค"
"13447","อรวรรณคลินิค"
"13448","อุดมคลีนิค"
"13449","ตาและสายตา"
"13450","คลินิคทำฟันทันตแทพย์มนัส"
"13451","ทันตแพทย์หญิงทรรศนพร อรุณทิพย์"
"13452","ทันตแพทย์หญิงวิไลวรรณ"
"13453","ทันตแพทย์หญิงสมจิตร"
"13454","ทันตเวชคลินิค"
"13455","พินิจทันตแพทย์  อ.เมือง"
"13456","แพนคลีนิค"
"13457","จีรย์ผดุงครรภ์"
"13458","ชลธิชาผดุงครรภ์"
"13459","เดือนเพ็ญพยาบาลและผดุงครรภ์"
"13460","ทวีผดุงครรภ์"
"13461","นพวรรณพยาบาลและผดุงครรภ์"
"13462","นภาพรผดุงครรภ์"
"13463","บุญส่งผดุงครรภ์"
"13464","ปราณีผดุงครรภ์"
"13465","พันเสาการผดุงครรภ์"
"13466","เพลินมณเฑียรผดุงครรภ์"
"13467","โพลี จี เอ็น(ผดุงครรภ์)"
"13468","มลิวัลย์อนามัยและผดุงครรภ์"
"13469","ยุพาผดุงครรภ์"
"13470","ราชินผดุงครรภ์"
"13471","สุนันรณาผดุงครรภ์"
"13707","วิทยาลัยพยาบาลบรมราชชนนี พุทธชินราช  พิษณุโลก"
"13744","วิทยาลัยการสาธารณสุขสิรินธร จังหวัดพิษณุโลก"
"14055","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านร้องยุ้งข้าว"
"14056","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแหลมมะค่า"
"14057","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านขอนอ้าปาก"
"14058","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบึงช้าง"
"14059","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสันติบันเทิง"
"14060","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลองตาล"
"14061","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท้องโพลง"
"14169","การผดุงครรภ์"
"14303","เทศบาลนครพิษณุโลก"
"14547","รพ.รังสีรักษาและเวชศาสตร์"
"14560","กรมรบพิเศษที่ 4"
"14626","ศูนย์วิทยาศาสตร์การแพทย์ที่ 2 พิษณุโลก"
"14633","สำนักงานป้องกันควบคุมโรคที่ 2 จังหวัดพิษณุโลก"
"14662","โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 2"
"14674","ศูนย์วิชาการศูนย์อนามัยสิ่งแวดล้อมเขต 9"
"14866","สอ.ต.หนองกุลา บ้านปลายนา หมู่ที่ 17"
"14972","โรงพยาบาลมหาวิทยาลัยนเรศวร"
"15106","ศูนย์สุขภาพจิตที่ 2"
"15272","ศูนย์สุขภาพชุมชนพันปี"
"15273","ศูนย์สุขภาพชุมชนมหานุภาพ"
"15274","ศูนย์สุขภาพชุมชนพระองค์ขาว"
"15281","ศูนย์สุขภาพชุมชนตำบลหนองกุลา"
"15282","ศูนย์สุขภาพชุมชนประชาอุทิศ"
"19325","คลินิกชฎาภรณ์ทันตแพทย์"
"22138","โยษิตาคลินิกการพยาบาลและการผดุงครรภ์"
"22141","คลินิกทวีการพยาบาลและการผดุงครรภ์"
"22229","ปรัชญาคลินิกเวชกรรมศัลยกรรมตกแต่ง"
"22232","คลินิกจิรพัฒน์การพยาบาลและการผดุงครรภ์"
"22286","คลินิกแพทย์หญิงพิริยา"
"22567","คลินิกสมาพรการพยาบาลและการผดุงครรภ์"
"22581","คลินิกเมืองใหม่การพยาบาลและการผดุงครรภ์"
"22757","สถานพยาบาลเรือนจำกลางพิษณุโลก"
"22795","สถานพยาบาลเรือนจำจังหวัดพิษณุโลก"
"22863","สถานพยาบาลทัณฑสถานหญิงพิษณุโลก"
"22937","คลินิกแพทย์สาวิตรี"
"23068","ศูนย์บริการสาธารณสุขเทศบาลวังทอง"
"23165","คลินิกอนันตญาการพยาบาลและการผดุงครรภ์"
"23280","คลินิกแพทย์ชินพัฒน์-แพทย์ปฐม"
"23425","ทรัพย์ไพรวัลย์คลินิกการพยาบาลและการผดุงครรภ์"
"23431","คลินิกทันตกรรมบ้านหมอฟันสุรสีห์"
"23985","คลินิกเวชกรรมพญาแมนการแพทย์"
"24667","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกระบัง"
"25022","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแสนสุขพัฒนา"
"25049","โรงพยาบาลทันตกรรม คณะทันตแพทยศาสตร์ มหาวิทยาลัยนเรศวร พิษณุโลก"
"29925","คลินิกสมชายการแพทย์"
"29926","คลินิกชูศักดิ์-อัชพรการแพทย์"
"29927","คลินิกวสันต์-สอางค์การแพทย์"
"29928","สมชาย-ศิริพรคลินิกเวชกรรม"
"29929","จำนงค์การแพทย์คลินิก"
"29930","คลินิกดวงรัตน์การแพทย์"
"29931","คลินิกแพทย์ชัยวัฒน์"
"29932","คลินิกแพทย์ศิวฤทธิ์"
"29933","คลินิกแพทย์หญิงสุวรี"
"29934","คลินิกแพทย์อนิศรา"
"29936","คลินิกแพทย์วรรณา"
"29937","คลินิกขจรการแพทย์"
"29938","คลินิกนายแพทย์ประพันธ์"
"29939","คลินิกนายแพทย์ดนัย"
"29940","คลินิกนายแพทย์วิรัช"
"29941","คลินิกแพทย์วิโรจน์"
"29942","คลินิกนายแพทย์อดิศักดิ์"
"29943","คลินิกศิริพร-สาโรจน์การแพทย์"
"29944","คลินิกแพทย์สมพร"
"29945","คลินิกนายแพทย์สุจิณ"
"29947","คลินิกนายแพทย์สุรพงศ์"
"29948","คลินิกแพทย์เกษม"
"29949","คลินิกแพทย์พัลลภ-นุสรา 1"
"29950","คลินิกแพทย์โชคดี"
"29951","คลินิกนายแพทย์ธงชัย"
"29952","คลินิกแพทย์จีรนันท์-สันติ"
"29953","คลินิกขจรการแพทย์1"
"29954","คลินิกแพทย์วิบูล"
"29955","คลินิกสมหมายการแพทย์"
"29956","คลินิกพรสวรรค์-ประเสริฐการแพทย์"
"29957","คลินิกแพทย์สุจรี"
"29958","สี่แยกคลินิกการแพทย์"
"29959","คลินิกนายแพทย์สุจิณ 2"
"29960","พิษณุโลก เอ็ม อาร์ ไอ คลินิกเวชกรรม"
"29961","คลินิกชินภัทร์การแพทย์"
"29962","คลินิกแพทย์วีระพันธ์"
"29963","คลินิกสมหมายการแพทย์2"
"29964","คลินิกวิบูลย์-ศศิธรการแพทย์"
"29965","คลินิกแพทย์หญิงสุกัญญา"
"29966","คลินิกยุทธนาการแพทย์"
"29967","คลินิกแพทย์หญิงกาญจ์รวี"
"29968","คลินิกแพทย์พงษ์สิทธิ์"
"29969","คลินิกแพทย์รสญา-อาทิตย์"
"29971","คลินิกแพทย์วิเศรษฐ"
"29972","คลินิกแพทย์ครรชิต-แพทย์สุวิโชติ"
"29974","คลินิกแพทย์นพดล-อัญญารัตน์"
"29975","คลินิกแพทย์พัลลภ-นุสรา 2"
"29976","คลินิกนายแพทย์ภูวดล"
"29977","คลินิกแพทย์หญิงศิริวรรณ"
"29978","คลินิกแพทย์ไกลตา"
"29979","คลินิกฟ้าใสการแพทย์"
"29980","คลินิกแพทย์หญิงธิติมา"
"29981","คลินิกลูกรักการแพทย์"
"29982","คลินิกแพทย์ศรัญญา"
"29984","คลินิกแพทย์หญิงสุนี"
"29985","นิติพลคลินิกเวชกรรมสาขาพิษณุโลก"
"29986","ภพรวิญคลินิกเวชกรรม"
"29987","คลินิกแพทย์เกรียงกมล-แพทย์รัชริน"
"29988","คลินิกแพทย์นฤดม-ประภาศรี"
"29989","นิติพลคลินิกเวชกรรมสาขาเซ็นทรัลพิษณุโลก"
"29990","วุฒิ-ศักดิ์คลินิกเวชกรรมสาขาเซ็นทรัลพิษณุโลก"
"29991","คลินิกแพทย์ธงชัย"
"29992","ราชเทวีคลินิกเวชกรรม สาขาเซ็นทรัลพิษณุโลก"
"29993","คลินิกแพทย์บดินทร์"
"29995","มาร์เวลลัสคลินิกเวชกรรม"
"29996","เมอริต้าคลินิกเวชกรรม"
"29998","คลินิกแพทย์หญิงนพวรรณ"
"30072","คลินิกแพทย์วรวรรณ-พงษ์พันธ์"
"30073","คลินิกแพทย์มณฑล"
"30074","คลินิกแพทย์จรัญ-กัญจน์พรรณ"
"30075","นิติพลคลินิกเวชกรรมสาขาโลตัสพิษณุโลก2"
"30076","คลินิกแพทย์ภูมินทร์"
"30077","คลินิกแพทย์พรรณทิภา-ชุมพล"
"30078","คลินิกแพทย์ทิพยกาญจน์-อาทิตย์"
"30079","คลินิกแพทย์หญิงจันทร์เพ็ญ"
"30080","นิติธรรมคลินิกเวชกรรม"
"30082","คลินิกนายแพทย์จักรกรินทร์"
"30084","แพทย์กำพลคลินิกเวชกรรม"
"30085","คลินิกแพทย์วันชัย"
"30086","คลินิกแพทย์หญิงวิไลพร"
"30088","คลินิกแพทย์หญิงพรรณเพชร"
"30089","คลินิกแพทย์หญิงทวินันท์"
"30091","คลินิกเวชกรรมนายแพทย์ธัชชัย"
"30092","บีแคร์คลินิกเวชกรรม"
"30093","คลินิกเวชกรรมแพทย์มีนา"
"30094","แพทย์พลคลินิกเวชกรรม"
"30097","คลินิกแพทย์ชมพูนุท"
"30098","คลินิกแพทย์ปนัดดา"
"30099","หู คอ จมกคลินิกเวชกรรม"
"30100","จักษุคลินิกเวชกรรม"
"30101","คลินิกนายแพทย์สุวิทย์ศัลยกรรมตกแต่ง"
"30102","คลินิกพิชิตการแพทย์กระดูกและข้อ"
"30103","พิษณุโลกเลเซอร์คลินิกการแพทย์"
"30104","คลินิกแพทย์อังคณาโรคข้อและรูมาติซั่ม"
"30105","คลินิกแพทย์ผิวหนัง-อายุรกรรมศักดิ์ชัย-อรวรรณ"
"30106","คลินิกหู คอ จมูกแพทย์กาญจนา"
"30107","คลินิก หู คอ จมูก แพทย์อดิศร"
"30108","คลินิกแพทย์อนุรัฐ-พรรณพิมลโรคกระดูก-ผิวหนัง"
"30109","พิษณุโลกศัลยกรรมตกแต่งคลินิก"
"30110","วิทยาจักษุคลินิกเวชกรรม"
"30111","ศูนย์โรคตา-สายตา คลินิกจักษุแพทย์"
"30112","คลินิกเด็กแพทย์ธรรมโรจน์"
"30113","คลินิกเวชกรรมรักษ์หัวใจ"
"30114","คลินิกตาแพทย์หญิงรสสุคนธ์"
"30115","คลินิกจักษุเวชกรรมแพทย์ยิ่งพันธุ์"
"30116","คลินิกเวชกรรมเฉพาะทางผิวหนังแพทย์นเรศ"
"30117","คลินิกเวชกรรมเฉพาะทางโรคสมองหมอเจษฎา"
"30119","คลินิกเวชกรรมเฉพาะทางศัลยกรรมตกแต่งแพทย์พัลลภา"
"30120","คลินิกเวชกรรมเฉพาะทางศูนย์พยาธิวิทยาพิษณุโลก"
"30121","วรพลคลินิกเวชกรรมเฉพาะทางโรคไต"
"30122","คลินิกกาญจนาทันตแพทย์"
"30123","คลินิกสุมิตรทันตแพทย์"
"30124","คลินิกทันตแพทย์ภาณุพันธ์"
"30125","คลินิกทันตแพทย์อุทัย"
"30126","คลินิกทันตแพทย์สมภพ"
"30127","คลินิกทันตแพทย์วิศิษฐ์"
"30128","คลินิกทันตแพทย์มานะ"
"30129","คลินิกทันตแพทย์สมชาย-รุ่งนภา"
"30130","คลินิกพินิจทันตแพทย์"
"30131","คลินิกทันตแพทย์วิทยา"
"30132","ทันตคลินิก"
"30133","คลินิกทันตแพทย์มนัส"
"30134","คลินิกศูนย์ทันตกรรมคลาสวัน"
"30135","คลินิกทันตกรรม บ้าน ฟ.ฟัน"
"30136","คลินิกทันตกรรมรอยยิ้ม"
"30137","คลินิกทันตกรรมฟันดีคลินิก"
"30138","คลินิกบ้านทันตกรรม"
"30139","คลินิกทันตกรรมเดนท์ฟอร์ยู"
"30140","คลินิกทันตกรรมสวนพฤกษา"
"30141","คลินิกทันตกรรมที - เด้นท์"
"30142","คลินิกทันตกรรมรักฟัน"
"30143","คลินิกทันตกรรมหมอตุ้ม"
"30145","คลินิกจรุงสิทธิ์ทันตแพทย์"
"30146","คลินิกทันตกรรมบีไฟน์"
"30147","คลินิกทันตกรรมต้นส้ม"
"30149","คลินิกทันตกรรมเด็นทัลโฮม"
"30150","คลินิกทันตกรรมไอดีลลิสท์"
"30151","คลินิกทันตกรรมกรีนเด็นท์"
"30152","คลินิกทันตกรรมยิ้มยิ้ม"
"30153","คลินิกทันตกรรมวิชสไมล์"
"30154","คลินิกทันตกรรมบ้านหมอแป้ง"
"30155","คลินิกทันตกรรมบ้านฟันมีสุข"
"30156","คลินิกทันตกรรมเด็นทัลคอนเนอร์"
"30157","แสงสินคลินิกการพยาบาลและการผดุงครรภ์"
"30158","ประคองการพยาบาลและการผดุงครรภ์คลินิก"
"30159","คลินิกนครไทยการพยาบาลและการผดุงครรภ์"
"30160","คลินิกสุนทรีการพยาบาลและการผดุงครรภ์"
"30161","ฉันทนาคลินิกการพยาบาลและการผดุงครรภ์"
"30162","มยุรีคลินิกการพยาบาลและการผดุงครรภ์"
"30163","พลายชุมพลคลินิกการพยาบาลและการผดุงครรภ์"
"30164","คลินิกพิชญ์ทิภาการพยาบาลและการผดุงครรภ์"
"30167","คลินิกมณฑาทิพย์การพยาบาลและการผดุงครรภ์"
"30168","คลินิกเบญจมาศการพยาบาลและการผดุงครรภ์"
"30169","คลินิกจำเนียรการพยาบาลและการผดุงครรภ์"
"30170","คลินิกอารมย์การพยาบาลและการผดุงครรภ์"
"30171","คลินิกอรัญญาการพยาบาลและการผดุงครรภ์"
"30172","คลินิกละมัยการพยาบาลและการผดุงครรภ์"
"30173","คลินิกศรีนครไทยการพยาบาลและการผดุงครรภ์"
"30174","คลินิกสร้อยฟ้าการพยาบาลและการผดุงครรภ์"
"30175","ศรีจันทร์คลินิกการพยาบาลและการผดุงครรภ์"
"30176","วิภาวรรณคลินิกการพยาบาลและการผดุงครรภ์"
"30177","วารุณีคลินิกการพยาบาลและการผดุงครรภ์"
