source_table,report_name,category
"s_alien_ipd","ประเภทของประชากรต่างด้าวที่มารับบริการผู้ป่วยใน","ต่างด้าว"
"s_alien_ipd5dx","ประชากรต่างด้าว เจ็บป่วยด้วยโรค 5 อันดับแรก ผู้ป่วยใน","ต่างด้าว"
"s_alien_opd","ประเภทของประชากรต่างด้าวที่มารับบริการผู้ป่วยนอก","ต่างด้าว"
"s_alien_opd5dx","ประชากรต่างด้าว เจ็บป่วยด้วยโรค 5 อันดับแรก ผู้ป่วยนอก","ต่างด้าว"
"s_alien_postnatal","ประชากรต่างด้าวรับบริการหลังคลอด","ต่างด้าว"
"s_all_alien","ข้อมูลบริการสุขภาพประชากรต่างชาติ","ต่างด้าว"
"s_anc12ga","อายุครรภ์เฉลี่ยของหญิงตั้งครรภ์ได้รับการฝากครรภ์ครั้งแรกเมื่ออายุครรภ์ ≤ 12 สัปดาห์","งานโภชนาการ"
"s_anc12w","จำนวนหญิงตั้งครรภ์ได้รับการฝากครรภ์ครั้งแรกก่อนหรือเท่ากับ 12 สัปดาห์(Workload)","อนามัยแม่และเด็ก"
"s_anc15","จำนวนเด็กและเยาวชนอายุต่ำกว่า 15 ปี ที่ตั้งครรภ์ (กบรส.)","อนามัยแม่และเด็ก"
"s_anc3234_hct","ภาวะโลหิตจางในหญิงตั้งครรภ์อายุครรภ์ 32-34 สัปดาห์","งานโภชนาการ"
"s_anc5","ร้อยละหญิงตั้งครรภ์ที่ได้รับการดูแลก่อนคลอด 5 ครั้ง ตามเกณฑ์","อนามัยแม่และเด็ก"
"s_anc5insur","ร้อยละหญิงตั้งครรภ์ที่ได้รับการดูแลก่อนคลอด 5 ครั้ง ตามเกณฑ์คูณภาพ(ปรับเกณฑ์ใหม่2562)","อนามัยแม่และเด็ก"
"s_anc8","ร้อยละของหญิงตั้งครรภ์ได้รับบริการฝากครรภ์ครบ 8 ครั้งตามเกณฑ์","อนามัยแม่และเด็ก"
"s_anc_early","ร้อยละหญิงตั้งครรภ์ได้รับการฝากครรภ์ครั้งแรกก่อนหรือเท่ากับ 12 สัปดาห์","อนามัยแม่และเด็ก"
"s_anc_hb","ร้อยละของหญิงตั้งครรภ์ที่ได้รับการตรวจ HBsAg","ข้อมูลเพื่อตอบสนอง Service Plan สาขาแม่และเด็ก"
"s_anc_hb","ร้อยละของหญิงตั้งครรภ์ที่ได้รับการตรวจ HBsAg","อนามัยแม่และเด็ก"
"s_anc_hct","ภาวะโลหิตจางในหญิงตั้งครรภ์","งานโภชนาการ"
"s_anc_hl","ร้อยละหญิงตั้งครรภ์สัญชาติไทย ได้รับการประเมินการพัฒนาทักษะความรอบรู้ด้านสุขภาพ (HL)","อนามัยแม่และเด็ก"
"s_anc_performance","ร้อยละของหญิงตั้งครรภ์ได้รับบริการฝากครรภ์คุณภาพ","อนามัยแม่และเด็ก"
"s_anc_quality","ร้อยละของหญิงตั้งครรภ์ได้รับบริการฝากครรภ์คุณภาพ","อนามัยแม่และเด็ก"
"s_asthma_15under","อัตราการกำเริบเฉียบพลันที่ได้รับการรักษาในห้องฉุกเฉินหรือ ผู้ป่วยนอก หรือต้องนอนรักษาในโรงพยาบาลในผู้ป่วยโรคหืด อายุน้อยกว่า 15 ปี (ครั้งต่อ 100 ผู้ป่วยโรคหืด)","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคปอดอุดกั้นเรื้อรัง(COPD)"
"s_asthma_admit","อัตราการกำเริบเฉียบพลันในผู้ป่วยโรคหืด ที่ต้องได้รับการรักษาในโรงพยาบาล","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคปอดอุดกั้นเรื้อรัง(COPD)"
"s_asthma_incidence","อัตราป่วยรายใหม่ของโรคหืด","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_asthma_relapse","อัตราการกำเริบเฉียบพลันในผู้ป่วยโรคหืด ที่ได้รับการรักษาในภาวะฉุกเฉิน","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคปอดอุดกั้นเรื้อรัง(COPD)"
"s_b_covid19","ข้อมูลรายโรคที่มีความสัมพันธ์กับพฤติกรรม การล้างมือ การสวมหน้ากากอนามัย/หน้ากากผ้า จำแนกรายเดือน เปรียบเทียบ 3 ปีย้อนหลัง","การใช้บริการสาธารณสุข"
"s_bmi2year","ร้อยละของผู้ป่วยเบาหวานที่มีภาวะอ้วน [BMI >= 25 กก./ตร.ม.] ลดลงจากงบประมาณที่ผ่านมา","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_breast_screen","อัตราการคัดกรองมะเร็งเต้านมในสตรีอายุ 30 – 70 ปี","การคัดกรอง"
"s_bst1","จำนวนผู้รับการบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด บสต.(แบบคัดกรอง) จำแนกรายพื้นที่","การบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด จากระบบ(บสต.)"
"s_bst2","จำนวนผู้รับการบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด บสต.(แบบบำบัดรักษา) จำแนกรายพื้นที่","การบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด จากระบบ(บสต.)"
"s_bst3","จำนวนผู้รับการบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด บสต.(แบบติดตาม) จำแนกรายพื้นที่","การบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด จากระบบ(บสต.)"
"s_bst4","จำนวนผู้รับการบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด บสต.(แบบรักษาส่งต่อ) จำแนกรายพื้นที่","การบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด จากระบบ(บสต.)"
"s_ca_breast_pop_age","อัตราป่วยโรคมะเร็งเต้านมต่อประชากร","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_ca_cervix_pop_age","อัตราป่วยโรคมะเร็งปากมดลูกต่อประชากร","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_ca_kancha1","ร้อยละของจำนวนผู้ป่วยมะเร็งที่ได้รับการรักษาด้วยยากัญชาทางการแพทย์","ข้อมูลเพื่อตอบสนอง Service Plan สาขากัญชา"
"s_ca_lung_pop_age","อัตราป่วยโรคมะเร็งปอดต่อประชากร","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_card","ร้อยละความครอบคลุมสิทธิในระบบหลักประกันสุขภาพของประเทศ","ความครอบคลุมการมีหลักประกันสุขภาพโดยรัฐ"
"s_cervix_screen_n66","อัตราการคัดกรองมะเร็งปากมดลูกในสตรีไทย อายุ 30-60 ปี","ข้อมูลเพื่อตอบสนอง Service Plan สาขามะเร็ง"
"s_cf_dm_diag","ร้อยละผู้ป่วยเบาหวานรายใหม่จากกลุ่มสงสัยป่วยที่ได้รับการตรวจยืนยัน","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_child","ร้อยละของทารกแรกเกิดน้ำหนักน้อยกว่า 2,500 กรัม","อนามัยแม่และเด็ก"
"s_child0_5_pshyche_develop_coverage","ร้อยละของเด็กปฐมวัยที่มีพัฒนาการล่าช้าเข้าถึงบริการพัฒนาการและสุขภาพจิตที่ได้มาตรฐาน (Coverage)","การเข้าถึงระบบบริการสุขภาพจิต"
"s_child0_5_pshyche_develop_coverage_hospcode","ร้อยละของเด็กปฐมวัยที่มีพัฒนาการล่าช้าเข้าถึงบริการพัฒนาการและสุขภาพจิตที่ได้มาตรฐาน (Coverage) (Private)","การเข้าถึงระบบบริการสุขภาพจิต"
"s_child0_5_pshyche_develop_workload","ร้อยละของเด็กปฐมวัยที่มีพัฒนาการล่าช้าเข้าถึงบริการพัฒนาการและ สุขภาพจิตที่ได้มาตรฐาน (Work load)","การเข้าถึงระบบบริการสุขภาพจิต"
"s_child4_hct","ร้อยละเด็กอายุครบ 5 ปีในเขตรับผิดชอบ มีภาวะโลหิตจาง (Coverage)","งานโภชนาการ"
"s_child_cbc_hct","เด็กไทยอายุ 6-12 เดือนได้รับการเจาะเลือดตรวจ Hct/CBC","อนามัยแม่และเด็ก"
"s_child_cbc_hct1","เด็กไทยอายุ 6-12 เดือนได้รับการเจาะเลือดตรวจ Hct/CBC(สปสช.)","อนามัยแม่และเด็ก"
"s_child_cbc_hct2","เด็กไทยอายุ 6-12 เดือน ที่ตรวจคัดกรองและพบโลหิตจาง","อนามัยแม่และเด็ก"
"s_child_hct","ร้อยละเด็กอายุครบ 12 เดือนในเขตรับผิดชอบ มีภาวะโลหิตจาง (Coverage)","งานโภชนาการ"
"s_child_hear","ร้อยละความครอบคลุมการคัดกรองได้ยินของทารกแรกเกิด","ข้อมูลเพื่อตอบสนอง Service Plan สาขาทารกแรกเกิด"
"s_child_mom_hepb","ร้อยละการติดเชื้อไวรัสตับอักเสบ บี ในเด็กที่เกิดจากแม่ที่ติดเชื้อไวรัส ตับอักเสบ บี เรื้อรังก่อนคลอด (ก่อนวันเกิดเด็ก)","ข้อมูลเพื่อตอบสนอง Service Plan สาขามะเร็ง"
"s_child_mom_hepb","ร้อยละการติดเชื้อไวรัสตับอักเสบ บี ในเด็กที่เกิดจากแม่ที่ติดเชื้อไวรัส ตับอักเสบ บี เรื้อรังก่อนคลอด (ก่อนวันเกิดเด็ก)","ข้อมูลเพื่อตอบสนอง Service Plan สาขาแม่และเด็ก"
"s_child_mou","ร้อยละเด็กที่ได้รับเงินอุดหนุนเพื่อการเลี้ยงดูเด็กแรกเกิด (กรมกิจการเด็กและเยาวชน) ที่สามารถเชื่อมโยงกับข้อมูลกระทรวงสาธารณสุขได้","อนามัยแม่และเด็ก"
"s_child_mou_status","สถานะสุขภาพของเด็กที่ได้รับเงินอุดหนุนเพื่อการเลี้ยงดูเด็กแรกเกิด (กรมกิจการเด็กและเยาวชน) ที่สามารถเชื่อมโยงกับข้อมูลกระทรวงสาธารณสุขได้","อนามัยแม่และเด็ก"
"s_child_risk","ผลการคัดกรอง Social Riskพัฒนาการเด็ก","อนามัยแม่และเด็ก"
"s_childdev_ba","ทารกแรกเกิดที่ขาดออกซิเจน Apgar Score น้อยกว่าหรือเท่ากับ 7 ได้รับการคัดกรองพัฒนาการ DSPM","อนามัยแม่และเด็ก"
"s_childdev_lbw","ทารกน้ำหนักน้อยกว่า 2,500 กรัม ได้รับการคัดกรองพัฒนาการ DSPM","อนามัยแม่และเด็ก"
"s_childdev_mmoney","เด็กที่ได้รับเงินอุดหนุนเพื่อการเลี้ยงดู ได้รับการคัดกรองพัฒนาการ DSPM","อนามัยแม่และเด็ก"
"s_childdev_mteen","ทารกคลอดมีชีพในหญิงอายุน้อยกว่า 20 ปี ได้รับการคัดกรองพัฒนาการ DSPM","อนามัยแม่และเด็ก"
"s_childdev_risk","ทารกแรกเกิดที่มีปัจจัยเสี่ยง ได้รับการคัดกรองพัฒนาการ DSPM","อนามัยแม่และเด็ก"
"s_childdev_specialpp","ร้อยละของเด็กอายุ 0-5 ปี มีพัฒนาการสมวัย (DSPM)","อนามัยแม่และเด็ก"
"s_childdev_specialpp48","ร้อยละของเด็กอายุ 0-5 ปี มีพัฒนาการสมวัย (DSPM) ช่วงรณรงค์","อนามัยแม่และเด็ก"
"s_childdev_specialpp_test","ร้อยละของเด็กอายุ 0-5 ปี มีพัฒนาการสมวัย (DSPM) (ทดสอบใช้ประชากรทุกประเภทการรับบริการ)","อนามัยแม่และเด็ก"
"s_cigarette1","การคัดกรองและการบำบัดผู้ติดบุหรี่ สะสมรายเดือน(specialpp)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette15","ความชุกของผู้สูบบุหรี่ของประชากรไทย อายุ 15 ปีขึ้นไป","การเฝ้าระวัง"
"s_cigarette2","การคัดกรองและการบำบัดผู้ติดบุหรี่ (specialpp)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3","การคัดกรองและการบำบัดผู้ติดบุหรี่ (workload specialpp)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year1","รายงานสรุปการคัดกรองและบำบัดบุหรี่ของประชากรในเขตพื้นที่รับผิดชอบ 3 ปีย้อนหลัง","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year10","Test 15 ปีขึ้นไป","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year10","ข้อมูลการป่วยจากโรคที่เกิดจากการสูบบุหรี่ ของประชากร ที่มีอายุ 15 ปีขึ้นไป","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year11","ข้อมูลการตายจากโรคที่เกิดจากการสูบบุหรี่ ของประชากรที่มีอายุ 15 ปีขึ้นไป","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year2","รายงานการบำบัดบุหรี่และการเลิกบุหรี่ของประชากรในเขตพื้นที่รับผิดชอบ 3 ปีย้อนหลัง","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year3","รายงานจำแนกตามการบำบัดบุหรี่และผลการเลิกบุหรี่ของประชากรในเขตพื้นที่รับผิดชอบ 3 ปีย้อนหลัง","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year4","รายงานจำนวนครั้งที่ประชากรในเขตรับผิดชอบได้รับการบันทึกข้อมูลเกี่ยวกับบุหรี่ 3 ปีย้อนหลัง","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year5","การเปลี่ยนแปลงสถานการณ์การสูบจากครั้งแรกกับครั้งสุดท้าย 3 ปีย้อนหลัง","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year6","ร้อยละผู้เข้าร่วมโครงการฯ และเลิกบุหรี่ได้ 6 เดือน","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year7","ข้อมูลการคัดกรองและบำบัดบุหรี่ ของอาสาสมัครสาธารณสุขประจำหมู่บ้าน (อสม.)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year8","ข้อมูลการป่วยจากโรคที่เกิดจากการสูบบุหรี่ของอาสาสมัครสาธารณสุขประจำหมู่บ้าน (อสม.)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_cigarette3year9","ข้อมูลการตายจากโรคที่เกิดจากการสูบบุหรี่ของอาสาสมัครสาธารณสุขประจำหมู่บ้าน (อสม.)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_ckd_stage_change_hosp","Stage Change ผู้ป่วยโรคไตเรื้อรัง จำแนกตามโรงพยาบาลที่รักษา (Work Load)","ข้อมูลเพื่อตอบสนอง Service Plan สาขาไต"
"s_ckd_stage_hosp","จำนวนผู้ป่วยโรคไตเรื้อรังที่มารับบริการที่โรงพยาบาล จำแนกตาม Stage (Work Load)","ข้อมูลเพื่อตอบสนอง Service Plan สาขาไต"
"s_ckd_stage_typearea","จำนวนผู้ป่วยโรคไตเรื้อรังในเขตรับผิดชอบ จำแนกตาม Stage (Coverage)","ข้อมูลเพื่อตอบสนอง Service Plan สาขาไต"
"s_cmi_dead","รายงานสรุป CMI กรณีผู้ป่วยเสียชีวิต (ปิดรายงาน) (ใช้ข้อมูลได้ที่ กบรส. https://cmi.moph.go.th)","CMI"
"s_cmi_dead","รายงานสรุป CMI กรณีผู้ป่วยเสียชีวิต","CMI"
"s_cmi_dead_drg","รายงานสรุป CMI กรณีผู้ป่วยเสียชีวิต แยกตาม DRG (ปิดรายงาน) (ใช้ข้อมูลได้ที่ กบรส. https://cmi.moph.go.th)","CMI"
"s_cmi_dead_drg","รายงานสรุป CMI กรณีผู้ป่วยเสียชีวิต แยกตาม DRG","CMI"
"s_cmi_dead_mdc","รายงานสรุป CMI กรณีผู้ป่วยเสียชีวิต แยกตาม MDC (ปิดรายงาน) (ใช้ข้อมูลได้ที่ กบรส. https://cmi.moph.go.th)","CMI"
"s_cmi_dead_mdc","รายงานสรุป CMI กรณีผู้ป่วยเสียชีวิต แยกตาม MDC","CMI"
"s_cmi_referin","รายงานสรุป CMI จำแนกตามพื้นที่การรับ Refer (ปิดรายงาน) (ใช้ข้อมูลได้ที่ กบรส. https://cmi.moph.go.th)","CMI"
"s_cmi_referin","รายงานสรุป CMI จำแนกตามพื้นที่การรับ Refer","CMI"
"s_cmi_summary_drg","รายงานสรุป CMI ตามกลุ่มวินิจฉัยโรคร่วม (DRG) (ปิดรายงาน) (ใช้ข้อมูลได้ที่ กบรส. https://cmi.moph.go.th)","CMI"
"s_cmi_summary_drg","รายงานสรุป CMI ตามกลุ่มวินิจฉัยโรคร่วม (DRG)","CMI"
"s_cmi_summary_mdc","รายงานสรุป CMI ตามกลุ่มวินิจฉัยโรคใหญ่ (MDC) (ปิดรายงาน) (ใช้ข้อมูลได้ที่ กบรส. https://cmi.moph.go.th)","CMI"
"s_cmi_summary_mdc","รายงานสรุป CMI ตามกลุ่มวินิจฉัยโรคใหญ่ (MDC)","CMI"
"s_cmi_summary_region","รายงานสรุป CMI (ปิดรายงาน) (ใช้ข้อมูลได้ที่ กบรส. https://cmi.moph.go.th)","CMI"
"s_colon_nhso","ร้อยละของประชากรกลุ่มเป้าหมายได้รับการคัดกรองมะเร็งลำไส้ใหญ่และลำไส้ตรง","ข้อมูลเพื่อตอบสนอง Service Plan สาขามะเร็ง"
"s_colon_screen","ประชากรกลุ่มเป้าหมายได้รับการคัดกรองมะเร็งลำไส้ใหญ่และลำไส้ตรง (coverageตามพื้นที่)","ข้อมูลเพื่อตอบสนอง Service Plan สาขามะเร็ง"
"s_colon_screen_w","ผลการคัดกรองมะเร็งลำไส้ใหญ่และลำไส้ตรงด้วยวิธี FIT test (workload)","ข้อมูลเพื่อตอบสนอง Service Plan สาขามะเร็ง"
"s_colono","จำนวนการรับบริการส่องกล้องเพื่อตรวจหามะเร็งลำไส้ใหญ่และลำไส้ตรง (work load)","ข้อมูลเพื่อตอบสนอง Service Plan สาขามะเร็ง"
"s_common_diseases_thai_drug","ร้อยละของผู้ป่วยที่ได้รับการวินิจฉัยโรค Common Diseases and Symptoms และได้รับยาสมุนไพรเพิ่มขึ้น","แพทย์แผนไทย"
"s_copd60","อัตราการเกิดการกำเริบเฉียบพลันในผู้ป่วยโรคปอดอุดกั้นเรื้อรัง(ผู้ป่วยอายุ 40 ปีขึ้นไป)","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคปอดอุดกั้นเรื้อรัง(COPD)"
"s_copd_death15","อัตราการเกิดการกำเริบเฉียบพลันในผู้ป่วยโรคปอดอุดกั้นเรื้อรังต่อประชากรอายุ 15 ปีขึ้นไป","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคหัวใจ และหลอดเลือด"
"s_copd_death_age","อัตราการป่วยตายด้วยโรคปอดอุดกั้นเรื้อรัง","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_copd_incidence","อัตราป่วยรายใหม่ของโรคปอดอุดกั้นเรื้อรัง","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_copd_pop_age","อัตราการป่วยด้วยโรคปอดอุดกั้นเรื้อรัง","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_coronary_death_age","จำนวนผู้ป่วยตายโรคหัวใจและหลอดเลือด (Cardiovascular disease)","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_coronary_incidence","อัตราป่วยรายใหม่ของผู้ป่วยโรคหัวใจและหลอดเลือด (Cardiovascular disease)","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_coronary_pop_age","อัตราป่วยด้วยโรคหัวใจและหลอดเลือดต่อประชากร (Cardiovascular disease)","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_cvd_change","รายงานการเปลี่ยน SCORE ลดลงของกลุ่มเสี่ยงและเสี่ยงสูงต่อ CVD (SCORE 4,5) เปรียบเทียบรอบ 6 เดือน","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
